ICAO,YEAR,N,PK_DAY
SBBR,2019,365,516.1600000000001
SBBR,2020,366,496.05000000000007
SBBR,2021,365,476.36
SBBR,2022,365,481.36
SBBR,2023,365,517.36
SBBR,2024,366,517.7
SBCF,2019,364,322.37
SBCF,2020,366,319
SBCF,2021,365,274
SBCF,2022,365,301
SBCF,2023,365,310
SBCF,2024,366,372.05000000000007
SBCT,2019,365,235
SBCT,2020,366,224.7500000000001
SBCT,2021,365,175
SBCT,2022,365,203
SBCT,2023,365,207
SBCT,2024,366,205
SBGL,2019,365,507.44000000000005
SBGL,2020,366,327
SBGL,2021,365,197.5200000000001
SBGL,2022,365,198.36
SBGL,2023,365,294.72
SBGL,2024,366,380.35
SBGR,2019,365,949.36
SBGR,2020,366,938.1000000000001
SBGR,2021,365,738.1600000000001
SBGR,2022,365,799.36
SBGR,2023,365,837.72
SBGR,2024,366,888.0500000000001
SBKP,2019,365,360.72
SBKP,2020,366,349
SBKP,2021,365,377.36
SBKP,2022,365,438.36
SBKP,2023,365,402
SBKP,2024,366,386.70000000000005
SBPA,2019,365,269.08000000000004
SBPA,2020,366,267.35
SBPA,2021,365,230.44000000000005
SBPA,2022,365,235.72000000000003
SBPA,2023,365,255.08000000000004
SBPA,2024,209,232.83999999999997
SBRJ,2019,364,377.74
SBRJ,2020,366,374.1500000000002
SBRJ,2021,365,313.36
SBRJ,2022,365,416
SBRJ,2023,365,444.72
SBRJ,2024,366,259
SBSP,2019,365,742
SBSP,2020,366,722.9000000000003
SBSP,2021,365,573.72
SBSP,2022,365,705.5200000000001
SBSP,2023,365,765.44
SBSP,2024,366,763.0500000000001
SBSV,2019,365,300
SBSV,2020,366,289
SBSV,2021,365,289.8800000000001
SBSV,2022,365,282.36
SBSV,2023,365,297.1600000000001
SBSV,2024,366,289.10000000000014
